학교명,설립별,지역별,교외장학금 국가,교내장학금 저소득층장학금,장학금_총계,학제별,평균입학금,평균등록금(원),일반학자금대출_전체_학생수,일반학자금대출_전체_금액,일반학자금대출_등록금_학생수,일반학자금대출_등록금_금액,취업학자금대출_전체_학생수,취업학자금대출_전체_금액,취업학자금대출_등록금_학생수,취업학자금대출_등록금_금액,일반_생활비대출_금액,취업_생활비대출_금액,총_생활비대출_금액,총_등록금대출_금액,총_대출_금액,총_대출_학생수
수원대학교,사립,경기,19062589249,2994113000,31646858717,대학,0,8195102.4,1075,3860912000,807,2655862000,1284,3980944563,736,2234768011,1205050000,1746176552,2951226552,4890630011,7841856563,2359
수원여자대학교,사립,경기,9234750900,1052513867,12401768746,전문대학,0,7213277.4,415,1347041720,325,930391720,770,2218135221,474,1196776641,416650000,1021358580,1438008580,2127168361,3565176941,1185
숙명여자대학교,사립,서울,21027099188,4000885400,37266114624,대학,0,8825485.2,2451,12074681960,2159,9795498960,1427,5004663642,886,3070658742,2279183000,1934004900,4213187900,12866157702,17079345602,3878
순복음총회신학교,사립,충북,449260000,0,545410000,대학,0,6243103.4,22,70430000,14,32180000,19,65860000,14,36460000,38250000,29400000,67650000,68640000,136290000,41
순천향대학교,사립,충남,28501380864,2667226000,43959133744,대학,0,8540656.9,1176,4349984500,869,3049201500,1854,5339452008,931,2732551020,1300783000,2606900988,3907683988,5781752520,9689436508,3030
숭실대학교,사립,서울,28208743304,2245337000,47295097252,대학,0,8643438.3,2893,13871105300,2426,10802196500,1982,6310749875,1263,3705699875,3068908800,2605050000,5673958800,14507896375,20181855175,4875
숭실사이버대학교,사립,서울,9464162237,1034783000,14230790237,대학,0,2772244.9,737,1611935000,273,293385000,306,659065982,123,129665982,1318550000,529400000,1847950000,423050982,2271000982,1043
숭의여자대학교,사립,서울,8195808946,623040854,10915944203,전문대학,0,6587312.7,337,1052185650,254,687185650,485,1337902104,286,677735170,365000000,660166934,1025166934,1364920820,2390087754,822
신구대학교,사립,경기,17404202025,1944395590,23132255675,전문대학,0,7227605.5,768,2505983100,591,1702983100,1340,3780533648,778,1957247786,803000000,1823285862,2626285862,3660230886,6286516748,2108
신라대학교,사립,부산,21006608940,1101497880,27686176338,대학,0,7298401.8,904,2841904240,661,1762704240,1456,4005453004,794,1903070198,1079200000,2102382806,3181582806,3665774438,6847357244,2360
신성대학교,사립,충남,8010228488,213396101,10347635940,전문대학,0,6915858.1,344,1071320000,203,574420000,643,1793125015,304,788725015,496900000,1004400000,1501300000,1363145015,2864445015,987
신안산대학교,사립,경기,5510025054,2582200,8942966273,전문대학,0,7253397.8,209,618853500,142,396003500,279,737869605,162,359869605,222850000,378000000,600850000,755873105,1356723105,488
신한대학교,사립,경기,18835101642,2145501786,27399613195,대학,0,9187366.5,1011,4107262360,892,3234562360,1656,5848262704,1288,4037421153,872700000,1810841551,2683541551,7271983513,9955525064,2667
아신대학교,사립,경기,1075821480,1140000,1456549490,대학,0,6900000.0,278,1073800000,252,685300000,123,376433247,84,195033247,388500000,181400000,569900000,880333247,1450233247,401
아주대학교,사립,경기,20549030008,2202459850,33881462317,대학,0,9093154.8,3075,14304832250,2617,10922882250,1699,5592034364,1124,3240364761,3381950000,2351669603,5733619603,14163247011,19896866614,4774
아주자동차대학교,사립,충남,894859750,193520000,1758168030,전문대학,0,7204000.0,60,185850000,43,106750000,67,202820000,39,96820000,79100000,106000000,185100000,203570000,388670000,127
안동과학대학교,사립,경북,6214318865,15572000,8206602093,전문대학,0,5939264.6,200,540337900,97,241937900,436,1130227851,210,442477851,298400000,687750000,986150000,684415751,1670565751,636
안양대학교,사립,경기,12709649900,1219359000,18027042578,대학,0,8369570.6,664,2430796650,591,1845446650,928,2892567362,693,1854817362,585350000,1037750000,1623100000,3700264012,5323364012,1592
여주대학교,사립,경기,8410410937,438098700,11548910721,전문대학,0,7519321.8,385,1276854130,282,825154130,706,2054898592,443,1057898592,451700000,997000000,1448700000,1883052722,3331752722,1091
연성대학교,사립,경기,17429796259,1454204500,23236174920,전문대학,0,7086392.6,604,1952612000,465,1343812000,1040,2868613758,589,1561148368,608800000,1307465390,1916265390,2904960368,4821225758,1644
연세대학교,사립,서울,47776857337,14509817368,97485820452,대학,0,9745809.0,10131,61469580085,9091,51042530085,3832,13837447077,2230,8150350121,10427050000,5687096956,16114146956,59192880206,75307027162,13963
연암공과대학교,사립,경남,3233148868,327810000,4427791532,전문대학,0,5568095.9,73,180018660,31,76768660,174,417162510,48,124145830,103250000,293016680,396266680,200914490,597181170,247
연암대학교,사립,충남,4499365708,224234300,5507073675,전문대학,0,6283484.2,124,396811460,90,250311460,212,543450314,102,232500314,146500000,310950000,457450000,482811774,940261774,336
영남대학교,사립,경북,61109158741,4203336300,86583959963,대학,0,8072811.3,2684,9966364880,1967,6787064880,3471,9861394675,1657,4765041328,3179300000,5096353347,8275653347,11552106208,19827759555,6155
영남신학대학교,사립,경북,1462872302,150638000,1815807630,대학,0,6812000.0,146,558188100,110,316188100,73,239286500,38,113336500,242000000,125950000,367950000,429524600,797474600,219
영남외국어대학,사립,경북,824686660,12360000,2353022660,전문대학,0,5505204.2,24,33990000,14,17990000,24,65580000,12,24330000,16000000,41250000,57250000,42320000,99570000,48
영남이공대학교,사립,대구,19756351142,0,26034798030,전문대학,0,6688516.2,470,1176341000,235,569891000,1038,2627314748,430,1027126503,606450000,1600188245,2206638245,1597017503,3803655748,1508
영진사이버대학교,사립,대구,6483709400,46757700,7460586050,전문대학,0,2498803.1,301,628208700,86,96458700,157,344117680,51,58051000,531750000,286066680,817816680,154509700,972326380,458
영진전문대학교,사립,대구,25234564742,235784500,31697863380,전문대학,0,6757226.4,714,1862462350,383,854112350,1129,2819635990,452,985802650,1008350000,1833833340,2842183340,1839915000,4682098340,1843
예수대학교,사립,전북,1430386632,125057000,1850899675,대학,0,7491000.0,32,97816000,21,63716000,93,257678000,54,134178000,34100000,123500000,157600000,197894000,355494000,125
예원예술대학교,사립,전북,2182688384,116419000,3737027520,대학,0,8879588.7,135,531003300,116,394253300,191,683720980,148,456520980,136750000,227200000,363950000,850774280,1214724280,326
오산대학교,사립,경기,11609267544,5196000,15253208203,전문대학,0,7075413.7,462,1481550710,363,1008950710,689,1932817116,420,1033667116,472600000,899150000,1371750000,2042617826,3414367826,1151
용인대학교,사립,경기,15611424928,1308202800,21573193510,대학,0,8424516.6,1096,4497374000,899,3405324000,1342,4492426254,921,2814593520,1092050000,1677832734,2769882734,6219917520,8989800254,2438
용인예술과학대학교,사립,경기,6755039702,0,8864296375,전문대학,0,7453471.8,341,1154038000,275,817738000,574,1591196393,382,830950720,336300000,760245673,1096545673,1648688720,2745234393,915
우석대학교,사립,전북,19866566053,608034820,26857797942,대학,0,7519491.2,874,3048591430,605,1909791430,1135,3243120169,630,1549744787,1138800000,1693375382,2832175382,3459536217,6291711599,2009
우송대학교,사립,대전,27296569575,759642540,41788761782,대학,0,7817764.1,721,2460459700,530,1672209700,1654,4560176360,1040,2279326360,788250000,2280850000,3069100000,3951536060,7020636060,2375
우송정보대학,사립,대전,11134364033,0,13679458591,전문대학,0,6636858.1,234,602723100,131,271223100,527,1292317118,227,459067877,331500000,833249241,1164749241,730290977,1895040218,761
울산과학기술원,국공립,울산,2931286542,52552000,12728147295,대학,0,6567981.0,453,1321140000,164,585390000,168,346223660,11,33173660,735750000,313050000,1048800000,618563660,1667363660,621
울산과학대학교,사립,울산,12601653312,906028300,16645593367,전문대학,0,6701181.8,492,1383026000,290,778476000,700,1838687014,304,733991155,604550000,1104695859,1709245859,1512467155,3221713014,1192
웅지세무대학교,사립,경기,439063320,64050000,947631320,전문대학,0,6960000.0,15,22940000,7,10440000,29,71010000,7,19510000,12500000,51500000,64000000,29950000,93950000,44
원광대학교,사립,전북,35118756883,3763668901,50363170102,대학,0,8097126.7,1720,7091797600,1199,4805797600,2087,5834926271,844,2481993334,2286000000,3352932937,5638932937,7287790934,12926723871,3807
원광디지털대학교,사립,전북,8402333560,265876000,10866595740,대학,0,2735094.3,679,1509507000,257,322957000,175,385128000,74,84728000,1186550000,300400000,1486950000,407685000,1894635000,854
원광보건대학교,사립,전북,13504370623,182927175,17215009747,전문대학,0,6668343.3,310,782942900,149,356092900,978,2416865950,437,946532610,426850000,1470333340,1897183340,1302625510,3199808850,1288
위덕대학교,사립,경북,7112479637,8323000,10285635601,대학,0,7312525.9,201,599508750,131,336408750,297,711059839,145,303613650,263100000,407446189,670546189,640022400,1310568589,498
유원대학교,사립,충북,11377984128,18140000,25406860288,대학,0,7193377.1,254,696444600,126,332194600,464,1257607900,255,543007900,364250000,714600000,1078850000,875202500,1954052500,718
유한대학교,사립,경기,12256710811,1127750200,15996396436,전문대학,0,6756634.8,518,1607509700,396,1084759700,832,2272255342,481,1139061643,522750000,1133193699,1655943699,2223821343,3879765042,1350
을지대학교,사립,대전,11612466294,3674104300,18769868329,대학,0,9247499.6,605,2418309700,508,1886559700,773,2505352985,482,1596488022,531750000,908864963,1440614963,3483047722,4923662685,1378
이화여자대학교,사립,서울,26977766814,11857231326,56816775931,대학,0,9311388.0,4500,25190343530,4058,20895910530,1914,7105723500,1130,4407481384,4294433000,2698242116,6992675116,25303391914,32296067030,6414
인덕대학교,사립,서울,16310618817,2024428170,20614258405,전문대학,0,7170128.5,690,2259599330,545,1585199330,1273,3773233705,841,2140383705,674400000,1632850000,2307250000,3725583035,6032833035,1963
인제대학교,사립,경남,21325634794,2389231600,29815087765,대학,0,7926630.2,1085,3753140200,837,2432240200,1627,4587924621,943,2199837212,1320900000,2388087409,3708987409,4632077412,8341064821,2712
