학교명,설립별,지역별,교외장학금 국가,교내장학금 저소득층장학금,장학금_총계,총_대출_금액,총_등록금대출_금액,총_생활비대출_금액,총_대출_학생수
덕성여자대학교,사립,서울,11320723064,940213720,17152027475,5049160093,3271471504,1777688589,1537
동강대학교,사립,광주,7632662716,17274000,9464133502,1624802300,590002300,1034800000,640
동국대학교,사립,서울,45265065284,3941697780,76072851709,29466873214,19996606773,9470266441,7348
동남보건대학교,사립,경기,11709529797,1019669000,15736031210,4768714667,2920341937,1848372730,1539
동덕여자대학교,사립,서울,15234863918,2500121880,24344442934,6892912593,4559030524,2333882069,1944
동서대학교,사립,부산,28431345685,1497179750,37384960111,9162939387,4892616554,4270322833,3202
동서울대학교,사립,경기,15722615731,982720000,20171949602,5282552252,3124199690,2158352562,1752
동신대학교,사립,전남,19069134166,5585600,25454944180,4052211722,1955411722,2096800000,1434
동아대학교,사립,부산,46883375814,7700361360,66348824140,21484532524,13362786284,8121746240,6225
동아방송예술대학교,사립,경기,9329888098,1219109000,12152781075,4921181479,2916037009,2005144470,1518
동아보건대학교,사립,전남,3380494142,0,4059026670,799421700,244221700,555200000,343
동양대학교,사립,경북,10637860573,366653350,15974708819,2934212036,1645212036,1289000000,1024
동양미래대학교,사립,서울,17524703399,1325849538,23618814199,5610707852,3511987289,2098720563,1879
동원과학기술대학교,사립,경남,8288003341,115274000,10478041818,2002027973,870577973,1131450000,740
동원대학교,사립,경기,10153356676,0,13181186877,2183802980,1171052980,1012750000,789
동의과학대학교,사립,부산,14838371665,20954600,18436651798,3077474749,1255558079,1821916670,1198
동의대학교,사립,부산,39235474287,6948457920,58338448394,12403668665,6346575877,6057092788,4266
두원공과대학교,사립,경기,5945136108,0,7621621477,2391369161,1328769161,1062600000,800
디지털서울문화예술대학교,사립,서울,4668423118,105620000,6143454333,1600027854,643577854,956450000,633
마산대학교,사립,경남,14849546910,646356690,19166508600,4422326785,2063056785,2359270000,1649
명지대학교,사립,경기,31720726451,2372225000,47871835560,21326978552,14920553131,6406425421,5320
명지전문대학,사립,서울,20547766854,2119701633,26020423885,6324759810,3790576460,2534183350,2011
목원대학교,사립,대전,21661528206,2052689320,30611706320,6099505592,3180179389,2919326203,2068
목포가톨릭대학교,사립,전남,1711363562,30633330,2306669880,302859817,134609817,168250000,115
목포과학대학교,사립,전남,10178811745,192326685,12231809332,1952206192,746606192,1205600000,762
문경대학교,사립,경북,2325026457,186556099,3608096932,944335458,379116423,565219035,352
배재대학교,사립,대전,20449379472,3718407940,29089266173,5697062562,2918523033,2778539529,2003
배화여자대학교,사립,서울,6720997822,596024970,8649188937,2148112129,1257312129,890800000,727
